environment,benchmark,metric,unit,sample_count,valid_count,mean,median,stdev,cv_percent,min,max,p50,p95,p99
host,scheduling_deterministic,parameters.iterations,,9,9,20000.0,20000.0,0.0,0.0,20000.0,20000.0,20000.0,20000.0,20000.0
host,scheduling_deterministic,parameters.warmup,,9,9,1000.0,1000.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
host,scheduling_deterministic,switches_per_sec,,9,9,434003.955556,429337.06,36761.876444,8.4704,375363.28,509741.97,429337.06,486312.606,505056.0972
host,scheduling_deterministic,system_time_sec,s,9,9,0.067778,0.07,0.006667,9.8361,0.06,0.08,0.07,0.076,0.0792
host,scheduling_deterministic,telemetry.cpu_percentage,%,9,9,86.333333,85.0,4.444097,5.1476,79.0,92.0,85.0,91.6,91.92
host,scheduling_deterministic,telemetry.max_rss_kb,KB,9,9,592.888889,592.0,2.666667,0.4498,592.0,600.0,592.0,596.8,599.36
host,scheduling_deterministic,telemetry.system_time_sec,s,9,9,0.067778,0.07,0.006667,9.8361,0.06,0.08,0.07,0.076,0.0792
host,scheduling_deterministic,telemetry.user_time_sec,s,9,9,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01
host,scheduling_deterministic,telemetry.vsz_kb,,9,9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
host,scheduling_deterministic,telemetry.wall_time_sec,s,9,9,0.093333,0.09,0.00866,9.2788,0.08,0.11,0.09,0.106,0.1092
host,scheduling_deterministic,total_context_switches,,9,9,40000.0,40000.0,0.0,0.0,40000.0,40000.0,40000.0,40000.0,40000.0
host,scheduling_deterministic,user_time_sec,s,9,9,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01
host,scheduling_deterministic,wall_time_sec,s,9,9,0.093333,0.09,0.00866,9.2788,0.08,0.11,0.09,0.106,0.1092
host,syscall_deterministic,cpu_percentage,%,9,9,92.222222,94.0,6.869821,7.4492,78.0,100.0,94.0,100.0,100.0
host,syscall_deterministic,elapsed_sec,s,9,9,0.018573,0.017582,0.003836,20.6515,0.015077,0.0265,0.017582,0.024709,0.026142
host,syscall_deterministic,iteration,,9,9,2.333333,2.0,1.414214,60.6092,1.0,5.0,2.0,4.6,4.92
host,syscall_deterministic,latency_ns,ns,9,9,92.865556,87.91,19.179443,20.6529,75.38,132.5,87.91,123.544,130.7088
host,syscall_deterministic,max_rss_kb,KB,9,9,588.0,588.0,0.0,0.0,588.0,588.0,588.0,588.0,588.0
host,syscall_deterministic,ops_per_sec,ops/sec,9,9,11130495.883333,11375248.81,2000463.055359,17.9728,7547274.05,13265459.28,11375248.81,13155290.692,13243425.5624
host,syscall_deterministic,parameters.iterations,,9,9,200000.0,200000.0,0.0,0.0,200000.0,200000.0,200000.0,200000.0,200000.0
host,syscall_deterministic,parameters.warmup,,9,9,5000.0,5000.0,0.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0
host,syscall_deterministic,system_time_sec,s,9,9,0.004444,0.0,0.00527,118.5854,0.0,0.01,0.0,0.01,0.01
